;index;y;x;osmid;ref;highway;lon;lat;geometry;loc_x;loc_y;loc;stop_type_index
89;2209665986;-4291644.977306738;969533.6994631087;2209665986; 19 ;tram_stop;144.9590666;-37.7875618;POINT (969533.6994631087 -4291644.977306738);1418.8081880703103;410.0752159431577;{1418.8081880703103,410.0752159431577};0
90;2209665987;-4291313.425397459;969595.5066094875;2209665987; 19 ;tram_stop;144.9594357;-37.7845544;POINT (969595.5066094875 -4291313.425397459);1480.615334449103;78.52330666501075;{1480.615334449103,78.52330666501075};0
91;2209665988;-4291682.92614249;969523.446111206;2209665988; 19 ;tram_stop;144.9589886;-37.7879085;POINT (969523.446111206 -4291682.92614249);1408.5548361676047;448.02405169513077;{1408.5548361676047,448.02405169513077};0
92;2209691355;-4293651.506251046;969061.5203399394;2209691355; 57 ;tram_stop;144.9557286;-37.8058382;POINT (969061.5203399394 -4293651.506251046);946.6290649010334;2416.604160252027;{946.6290649010334,2416.604160252027};0
93;2209691357;-4293664.660708347;969103.5682150202;2209691357; 57 ;tram_stop;144.9562145;-37.8059228;POINT (969103.5682150202 -4293664.660708347);988.6769399818731;2429.7586175529286;{988.6769399818731,2429.7586175529286};0
94;2209691362;-4293618.835309934;968904.360332234;2209691362; 57 ;tram_stop;144.9539287;-37.8056692;POINT (968904.3603322339 -4293618.835309934);789.4690571955871;2383.933219139464;{789.4690571955871,2383.933219139464};0
95;2209691364;-4293606.543477766;968866.1485002458;2209691364; 57 ;tram_stop;144.9534868;-37.8055893;POINT (968866.1485002458 -4293606.543477766);751.2572252074024;2371.641386971809;{751.2572252074024,2371.641386971809};0
96;2209698841;-4293184.644866527;969194.3591997415;2209698841; 58 ;tram_stop;144.9567638;-37.801568;POINT (969194.3591997415 -4293184.644866527);1079.4679247031454;1949.7427757326514;{1079.4679247031454,1949.7427757326514};0
97;2209698842;-4293165.228561027;969195.5317835899;2209698842; 58 ;tram_stop;144.9567579;-37.8013938;POINT (969195.5317835899 -4293165.228561027);1080.6405085514998;1930.3264702325687;{1080.6405085514998,1930.3264702325687};0
98;2213858634;-4293798.394027824;970944.8192414406;2213858634; 86 ;tram_stop;144.9770569;-37.8056787;POINT (970944.8192414406 -4293798.394027824);2829.9279664022615;2563.4919370291755;{2829.9279664022615,2563.4919370291755};0
